2B7A240D-D5AD-4FD6-BE1C-DFA4415F5526,gDtPlatformFormSetGuid
25462CDA-221F-47DF-AC1D-259CFAA4E326,gDtPlatformDefaultDtbFileGuid
2D2358B4-E96C-484D-B2DD-7C2EDFC7D56F,gConsolePrefFormSetGuid
D1A86E3F-0707-4C35-83CD-DC2C29C891A3,gEdkiiNvVarStoreFormattedGuid
32898322-2DA1-474A-BAAA-F3F7CF569470,gHardwareInterrupt2ProtocolGuid
735F8C64-D696-44D0-BDF2-447FD05A5406,gEmbeddedExternalDeviceProtocolGuid
17A0A3D7-C0A5-4635-BBD5-072187DFE2EE,gEmbeddedGpioProtocolGuid
3E591C00-9E4A-11DF-9244-0002A5D5C51B,gEmbeddedMmcHostProtocolGuid
74BD9FE0-8902-11E3-B9D3-F72238FC9A31,gAndroidFastbootTransportProtocolGuid
7197C8A7-6559-4C93-93D5-8A84F988798B,gPlatformBootManagerProtocolGuid
52CE9845-5AF4-43E2-BAFD-230812547AC2,gPlatformGpioProtocolGuid
0E3606D2-1DC3-4E6F-BE65-394982A26547,gPlatformVirtualKeyboardProtocolGuid
9859BB19-407C-4F8B-BCE1-F8DA6565F4A5,gAndroidBootImgProtocolGuid
21C3B115-4E0B-470C-85C7-E105A575C97B,gEdkiiEmbeddedGpioPpiGuid
D85A4835-5A82-4894-AC02-706F43D5978E,gEdkiiConfigurationManagerProtocolGuid
91D1E327-FE5A-49B8-AB65-0ECE2DDB45EC,gEdkiiDynamicTableFactoryProtocolGuid
AB226E66-31D8-4613-879D-D2FAB610263C,gEdkiiDynamicTablesPkgTokenSpaceGuid
9C0AAED4-74C5-4043-B417-A3223814CE76,gArmPlatformTokenSpaceGuid
6BD7DE60-9EF7-4899-97D0-ABFFFDE970F2,gEfiCryptoPkgTokenSpaceGuid
D2C18636-40E5-4EB5-A31B-36695FD42C87,gEfiShellEnvironment2ExtGuid
171E9188-31D3-40F5-B10C-539B2DB940CD,gEfiShellPkgTokenSpaceGuid
158DEF5A-F656-419C-B027-7A3192C079D2,gShellVariableGuid
51271E13-7DE3-43AF-8BC2-71AD3B824325,gShellMapGuid
0053D9D6-2659-4599-A26B-EF4536E631A9,gShellAliasGuid
B8969637-81DE-43AF-BC9A-24D98913F2F6,gHandleParsingHiiGuid
25F200AA-D3CB-470A-BF51-E7D162D22E6F,gShellDebug1HiiGuid
0AF0B742-63EC-45BD-8DB6-71AD7F2FE8E8,gShellDriver1HiiGuid
7D574D54-D364-4D4A-95E3-4945DB7AD3EE,gShellInstall1HiiGuid
DEC5DAA4-6781-4820-9C63-A7B0E4F1DB31,gShellLevel1HiiGuid
F95A7CCC-4C55-4426-A7B4-DC8961950BAE,gShellLevel2HiiGuid
4344558D-4EF9-4725-B1E4-3376E8D6974F,gShellLevel3HiiGuid
F3D301BB-F4A5-45A8-B0B7-FA999C6237AE,gShellNetwork1HiiGuid
0174B2B5-F505-4B12-AA60-59DFF8D6EA37,gShellNetwork2HiiGuid
738A9314-82C1-4592-8FF7-C1BDF1B20ED4,gShellTftpHiiGuid
390F84B3-221C-4D9E-B506-6DB9423E0A7E,gShellHttpHiiGuid
5F5F605D-1583-4A2D-A6B2-EB12DAB4A2B6,gShellBcfgHiiGuid
DA8CCDF4-ED8F-4FFC-B5EF-2EF55E24932A,gShellAcpiViewHiiGuid
7C04A583-9E3E-4F1C-AD65-E05268D0B4D1,gUefiShellFileGuid
47C7B221-C42A-11D2-8E57-00A0C969723B,gEfiShellEnvironment2Guid
47C7B223-C42A-11D2-8E57-00A0C969723B,gEfiShellInterfaceGuid
0B6F5CA7-4F53-445A-B76E-2E365B806366,gArmVirtTokenSpaceGuid
B199DEA9-FD5C-4A84-8082-2F4170780305,gEarlyPL011BaseAddressGuid
EA67CA3E-1F54-436B-9788-D4EB29C34267,gEarly16550UartBaseAddressGuid
50BEA1E5-A2C5-46E9-9B3A-59596516B00A,gArmVirtVariableGuid
E11FACA0-4710-4C8E-A7A2-01BAA2591B4C,gFdtClientProtocolGuid
5DB12509-4550-4347-96B3-73C0FF6E869F,gEfiRedfishDiscoverProtocolGuid
08804377-AF7A-4496-8A7B-175900E9AB46,gEdkIIRedfishCredentialProtocolGuid
BC0FE6BB-2CC9-463E-9082-FA1176FC67DE,gEdkIIRedfishConfigHandlerProtocolGuid
4FDBCCB7-E829-4B4C-8887-B23FD7254B85,gEfiRedfishPkgTokenSpaceGuid
833D3ABA-39B4-43A2-B930-7A34533931B3,gUnitTestFrameworkPkgTokenSpaceGuid
CD167C1E-6E0B-42B3-82F6-E3E906199810,gFspReadyForNotifyPhasePpiGuid
A1EEAB87-C859-479D-89B5-1461F4061A3E,gFspInApiModePpiGuid
